# arXiv:1906.06233 Fig. 9b Sibyll2.3c neutrino range
# All-flavor neutrino flux
# lg(E/eV)  E^2*phi_min [GeV/cm2/s/sr]     E^2*phi_max [GeV/cm2/s/sr]
1.505000000000000071e+01 4.025576060759185637e-10 1.454828048462216057e-09
1.515000000000000036e+01 3.766990447227043337e-10 1.205242173829499457e-09
1.525000000000000000e+01 3.371160801299239473e-10 9.780881285453967137e-10
1.534999999999999964e+01 3.103233887726739453e-10 7.928706424135623051e-10
1.544999999999999929e+01 3.111876178920539592e-10 6.961254350653186135e-10
1.555000000000000071e+01 3.352843592206497502e-10 7.195827421649612217e-10
1.565000000000000036e+01 3.909461159407190528e-10 9.304919807207178043e-10
1.575000000000000000e+01 4.717944323274258546e-10 1.400424507665950090e-09
1.584999999999999964e+01 5.652233192956958699e-10 2.116352545622944861e-09
1.594999999999999929e+01 7.093652980817028669e-10 3.109310498722379883e-09
1.605000000000000071e+01 8.992113348372755735e-10 4.323822483051112300e-09
1.614999999999999858e+01 1.170069319595908357e-09 5.590903109953896878e-09
1.625000000000000000e+01 1.521360981402721746e-09 6.763418960512756148e-09
1.635000000000000142e+01 1.915609914143424593e-09 7.550050154642559507e-09
1.644999999999999929e+01 2.312297434564730341e-09 7.856764115916645466e-09
1.655000000000000071e+01 2.630791283559778472e-09 7.649992533135568182e-09
1.664999999999999858e+01 2.772181709340700452e-09 6.930299379345980212e-09
1.675000000000000000e+01 2.686394259990478136e-09 5.846764177640935270e-09
1.685000000000000142e+01 2.404947879862970624e-09 4.624285081117918846e-09
1.694999999999999929e+01 1.961943080074891712e-09 3.396309233210610054e-09
1.705000000000000071e+01 1.482280032254287099e-09 2.378719161552375039e-09
1.714999999999999858e+01 1.043127724404620824e-09 1.640557876305447255e-09
1.725000000000000000e+01 6.967045003484325352e-10 1.343971600024095312e-09
1.735000000000000142e+01 4.009768928888172362e-10 1.221025475853470973e-09
1.744999999999999929e+01 1.998633101236806201e-10 1.230104647576369651e-09
1.755000000000000071e+01 9.375217855980276724e-11 1.332072563067925378e-09
1.764999999999999858e+01 4.350893189290515633e-11 1.477212218116746395e-09
1.775000000000000000e+01 1.955310439314944049e-11 1.600793804875150015e-09
1.785000000000000142e+01 8.543715059870899165e-12 1.784569585260959646e-09
1.794999999999999929e+01 3.679137744466537655e-12 1.926968807899981456e-09
1.805000000000000071e+01 1.409249494353736621e-12 2.168071256985842944e-09
1.814999999999999858e+01 5.549359743277817142e-13 2.593735871409890669e-09
1.825000000000000000e+01 1.820155490176607688e-13 3.040275431842492993e-09
1.835000000000000142e+01 5.384020321219957190e-14 3.515514071395682954e-09
1.844999999999999929e+01 1.265555516692114232e-14 3.991213421325013316e-09
1.855000000000000071e+01 2.680730699676893962e-15 4.442908172000976196e-09
1.864999999999999858e+01 6.324846512274438292e-16 4.873815352774204330e-09
1.875000000000000000e+01 1.598879473829464479e-16 5.274204442769325184e-09
1.885000000000000142e+01 2.138538133218793925e-17 5.572141077049708977e-09
1.894999999999999929e+01 2.852122902883352027e-18 5.861236838077611476e-09
1.905000000000000071e+01 1.984891222776076074e-19 6.023081215902684400e-09
1.914999999999999858e+01 5.836914507530354230e-20 6.180604448130856066e-09
1.925000000000000000e+01 6.353347009336345003e-23 6.305504619758901766e-09
1.935000000000000142e+01 3.045136720639005372e-25 6.211162255320700094e-09
1.944999999999999929e+01 2.069256824586142250e-25 6.002976768281813281e-09
1.955000000000000071e+01 9.279263005225583642e-29 5.686158951862032170e-09
1.964999999999999858e+01 7.628132620115955030e-34 5.231842918011479499e-09
1.975000000000000000e+01 2.047253932484279363e-44 4.677227057962292386e-09
1.985000000000000142e+01 5.394862901623943931e-49 4.018427106646668007e-09
1.994999999999999929e+01 8.754847504660613848e-56 3.389120562686355883e-09
2.005000000000000071e+01 1.943053954653148269e-65 2.702956003684479488e-09
2.014999999999999858e+01 9.158525113547493272e-75 2.107718197711492010e-09
2.025000000000000000e+01 2.528044926398192564e-82 1.536858325262192565e-09
2.035000000000000142e+01 0.000000000000000000e+00 1.084385132916200056e-09
2.044999999999999929e+01 0.000000000000000000e+00 7.011582987605316447e-10
2.055000000000000071e+01 0.000000000000000000e+00 4.385692709253786054e-10
