# arXiv:1906.06233 Fig. 9b EPOS-LHC neutrino range
# All-flavor neutrino flux
# lg(E/eV)  E^2*phi_min [GeV/cm2/s/sr]     E^2*phi_max [GeV/cm2/s/sr]
1.755000000000000071e+01 1.724105320033747410e-10 3.026223765370220027e-09
1.764999999999999858e+01 7.575921425247528860e-11 3.402743291911876769e-09
1.775000000000000000e+01 3.215250055387557794e-11 3.848226395792295330e-09
1.785000000000000142e+01 1.314597341903991401e-11 4.299754337538966516e-09
1.794999999999999929e+01 5.615233383783501774e-12 4.649536775699804165e-09
1.805000000000000071e+01 2.239036541476109924e-12 4.783778247368207068e-09
1.814999999999999858e+01 8.805049049095188189e-13 5.389056362228109329e-09
1.825000000000000000e+01 2.581765344912596042e-13 6.266741401904356965e-09
1.835000000000000142e+01 1.001608187575582769e-13 7.184166683163861323e-09
1.844999999999999929e+01 2.410214276059192839e-14 8.073631610561068236e-09
1.855000000000000071e+01 6.783880855839253287e-15 8.936986968882889807e-09
1.864999999999999858e+01 1.052596116962534367e-15 9.803678505790553532e-09
1.875000000000000000e+01 2.088527227560553352e-16 1.061182805179903837e-08
1.885000000000000142e+01 5.430949233327467946e-17 1.121583524148338207e-08
1.894999999999999929e+01 6.500019717878183357e-18 1.180220834435684629e-08
1.905000000000000071e+01 6.477564058682528389e-19 1.219484479078105835e-08
1.914999999999999858e+01 1.125308923569195068e-19 1.251916900901898389e-08
1.925000000000000000e+01 4.296974188717431432e-22 1.277605476012881482e-08
1.935000000000000142e+01 4.282199683551559951e-24 1.258946705779208133e-08
1.944999999999999929e+01 2.480679133761583954e-26 1.217427168950170088e-08
1.955000000000000071e+01 3.964690801567569900e-27 1.153698214678240914e-08
1.964999999999999858e+01 1.598998623064673141e-34 1.061722948379516329e-08
1.975000000000000000e+01 7.746010930149039966e-42 9.496750075893091947e-09
1.985000000000000142e+01 6.476737957318415761e-48 8.163946730849220252e-09
1.994999999999999929e+01 2.463211855879996692e-56 6.890575024327418686e-09
2.005000000000000071e+01 1.877712514064728982e-61 5.502788278875932239e-09
2.014999999999999858e+01 1.946326586980212289e-70 4.292279708850210821e-09
2.025000000000000000e+01 5.980060398710016900e-93 3.134498647045486902e-09
2.035000000000000142e+01 0.000000000000000000e+00 2.217812091044277287e-09
2.044999999999999929e+01 0.000000000000000000e+00 1.435065161982275923e-09
2.055000000000000071e+01 0.000000000000000000e+00 8.981866514144812716e-10
2.064999999999999858e+01 0.000000000000000000e+00 5.419248778429979785e-10
2.075000000000000000e+01 0.000000000000000000e+00 2.856015111233501304e-10
2.085000000000000142e+01 0.000000000000000000e+00 1.496037797279711511e-10
2.094999999999999929e+01 0.000000000000000000e+00 7.013894482768364247e-11
2.105000000000000071e+01 0.000000000000000000e+00 2.659466532833324983e-11
2.114999999999999858e+01 0.000000000000000000e+00 1.029679747390738778e-11
2.125000000000000000e+01 0.000000000000000000e+00 3.090532579253498047e-12
2.135000000000000142e+01 0.000000000000000000e+00 8.862478980465753045e-13
